date,comment,symbol,label_1,label_2
"16 Dec 22, 11:10",Penyampaian Bukti Iklan Hasil RUPS [FISH],FISH,0,0
"16 Dec 22, 09:40",Perubahan Pengurus [FISH],FISH,0,0
"16 Dec 22, 09:20",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [FISH],FISH,0,0
"16 Dec 22, 08:26","FKS Multi Agro (FISH) Raih Pinjaman Rp250 Miliar dari CIMB Niaga, Pantau Alokasinya
EmitenNews.com—Perusahaan ekspor-impor pangan, PT FKS Multi Agro Tbk (FISH) mengumumkan raihan fasilitas kredit dari PT CIMB Niaga Tbk (BNGA) senilai Rp250 miliar.
 
Corporate Secretary FISH Farah Reza Praditya mengatakan perseroan telah menandatangani perjanjian kredit pada 13 Desember 2...",FISH,2,0
"16 Dec 22, 08:25","PT FKS Multi Agro Tbk (FISH) Raih Pinjaman Rp250 Miliar dari CIMB Niaga
Perusahaan ekspor-impor pangan, PT FKS Multi Agro Tbk (FISH) mengumumkan raihan fasilitas kredit dari PT CIMB Niaga Tbk (BNGA) senilai Rp250 miliar.Corporate Secretary FISH Farah Reza Praditya mengatakan perseroan telah menandatangani perjanjian kredit pada 13 Desember 2022.""Fasilitas kredit tersebu...",FISH,2,0
"15 Dec 22, 19:10",Laporan Hasil Public Expose - Tahunan [FISH],FISH,0,0
"15 Dec 22, 13:40",Laporan Informasi atau Fakta Material Penandatanganan Perjanjian Fasilitas Kredit [FISH],FISH,0,0
"9 Dec 22, 16:40",Penyampaian Materi Public Expose - Tahunan [FISH],FISH,0,0
"8 Dec 22, 18:35","Auto Rejection Bawah: 8 Dec 2022 (35 saham)
$AYLS -6,86%
$FISH -6,8%
$GDST -6,8%
$HATM -6,78%
$UANG -6,78%
Historikal ARA & ARB: https://bit.ly/3LkWqN1",FISH,1,0
"7 Dec 22, 12:03",@nggawok something $FISH -y emang investasi $TLKM di $GOTO,FISH,0,0
"5 Dec 22, 16:40",Laporan Bulanan Registrasi Pemegang Efek [FISH],FISH,0,0
"2 Dec 22, 16:32",wah kan ada $FISH dan bahasa Indonesianya $IKAN,FISH,0,0
"29 Nov 22, 16:40",Rencana Penyelenggaraan Public Expose - Tahunan [FISH],FISH,0,1
"25 Nov 22, 17:14","Ada sebuah hal yang menarik perhatian saya ketika berkunjung ke warung kelontong dekat rumah.

Sebuah produk yang sudah lama langka, kini mulai menonjol kembali dibalik sederet merek snack. Produk ini selama beberapa tahun tidak terlalu terlihat, bertepatan dengan produsennya yang menghadapi masalah yang sempat mengegerkan lantai bursa. Produk yang dikenal dengan nama Taro itu muncul dengan rasa yang baru - tetap enak btw, meski yaa.. seperti kebanyakan snack serupa hari ini, rasa rasanya lebih banyak angin daripada isinya wkwkkw

Selain Taro, produsennya juga memproduksi sejumlah merek terkenal lain, seperti Bihunku, Mie Telor cap 3 Ayam dan lainnya. Produsen makanan ini kini sedang berupaya kembali on track setelah sekitar 4 tahun lalu terjerat masalah fraud oleh pemilik dan manajemen lamanya. Terbukti dari iklan produknya yang mulai bermunculan lagi di TV. Apa kabar AISA (FKS Food Sejahtera) hari ini?

=====

Fraud yang dialami perusahaan yang sebelumnya bernama TPS Food di tahun 2017-2018 itu benar benar menghebohkan. Betapa tidak, fraud mulai terbuka berkat kasus beras yang penggebrekannya diliput media. Kinerja bisnis AISA yang turun setelah itu - karena saat itu dominasi pendapatannya dari bisnis beras - mulai membuka banyak hal yang ditutupi kinerja impresif AISA selama sekian tahun.

Laporan keuangan AISA saat itu banyak bodongnya. Ada sejumlah disinformasi pihak berelasi (satu grup) AISA dan penyelewengan yang menumpuk di sejumlah pos laporan keuangan, seperti piutang dan persediaan. Laporan fraud tersebut dibuka ke publik, setelah dianalisis oleh kantor independen Ernst & Young. Fraud inilah yang menjadi biang keladi kesulitan keuangan yang dialami grup AISA, yang membuat mereka harus menghadapi restrukturisasi hutang di meja hijau.

Tahun 2020, asa itu tercipta. FKS Group, sebuah konglomerasi consumer goods yang berkantor pusat di Singapura, menyelamatkan AISA. Kehadiran mereka di lantai bursa sebenarnya tak sekali ini. Jejak mereka ada juga di FKS Multi Agro (FISH). Kinerja FISH yang baik, diharapkan juga ditularkan ke AISA. Sejumlah progres terjadi, dimana yang paling signifikan adalah penyelesaian hutang - dengan ""diskon"" - terhadap sebagian besar hutang AISA. Saat tulisan ini dibuat, AISA telah menyelesaikan hutang terakhirnya, obligasi dan sukuk. Meski disisi lain AISA terpaksa harus melepas Dunia Pangan, produsen beras di grup AISA, yang telah dicap pailit.

AISA seakan akan telah reset kembali ke awal mula mereka. Perusahaan consumer goods yang berfokus pada produk makanan, baik snack maupun makanan pokok (mie dan bihun). Strategi ini nampaknya hasil belajar dari kejadian masa lalu, dimana manajemen masa lalu terlalu agresif dan over diversified bisnis. Dulu AISA seakan ingin menjadi ""Indofood (INDF) kecil"", dengan bisnis makanan, perkebunan kelapa sawit dan beras dalam satu payung.

Masalahnya, bisnis kelapa sawit AISA saat itu belum optimal karena lahan belum menghasilkannya relatif besar. Sementara itu, bisnis beras, meski merupakan makanan pokok sebagian besar orang Indonesia, bukanlah bisnis yang ""enak"" karena regulasi ada dibaliknya. Pengembangan yang agresif di periode 2008-2014 itu sayangnya dipenuhi dengan rights issue berulang kali + hutang yang relatif tinggi. Ini adalah masalah, disaat bersamaan piutang AISA saat itu naik tajam dan terkonsentrasi di perusahaan ""bodong"" milik pemilik lama yang malah disebut pihak ketiga.

Itu adalah cerita lalu. AISA kini fokus jualan Taro dan produk lainnya yang mereka miliki sejak lama. Itu setidaknya terlihat dari iklan AISA yang mulai beredar di televisi. Meski belum seagresif grup INDF, namun kemunculan iklan AISA (yang tercermin dari kenaikan beban promosi dalam 1 tahun belakangan ini) lumayan menonjol. Apalagi Bihunku sempat menumpang tren sinetron Ikatan Cinta-nya RCTI. Sebuah strategi jitu untuk turn back.

Hasilnya, AISA mulai merangkak. Meski kinerjanya belum terlalu bagus di beberapa poin (misal operating cash flow negatif dan masih adanya pengaruh beban & pendapatan one time), namun pendapatan AISA mulai naik. Meski ada tantangan kenaikan harga bahan baku, namun pengaruh kembalinya produk AISA yang kini didistribusikan mayoritas ke FKS Pangan - satu grup - lebih signifikan.

Harus diakui, AISA telah kalah langkah. Gara gara fraud di atas, banyak hal dan kesempatan yang hilang. Sementara persaingan sudah terlanjur ketat, terutama di snack. Karena itu, membangun kembali akan membutuhkan waktu yang lama. Semua tentu berharap FKS Group dapat membantu mempercepat langkah AISA untuk memperbaiki keadaan. Apalagi diversifikasi bisnis FKS sendiri sudah mirip INDF, sehingga AISA sudah memperoleh keuntungan tersendiri.

Let's see...

Postingan terkait angka angka dan penelusuran lainnya ada di


Topik mengenai saham, investasi dan bisnis lainnya bisa cek dan follow Instagram dan Tiktok .",FISH,0,1
"23 Nov 22, 04:28","$NISP
$BBLD
$PDES
$FISH
$GEMS

DYOR",FISH,0,1
"22 Nov 22, 13:20",Penyampaian Bukti Iklan Panggilan RUPS [FISH],FISH,0,0
"22 Nov 22, 09:40",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [FISH],FISH,0,0
"21 Nov 22, 16:45","I TRUST LIM AUN SENG, GOOD BYE BAD GCG.

Jika kita mendengar emiten $AISA yang pertama kali terlintas mungkin adalah BAD GCG. Tapi menurut saya hari ini AISA sudah mulai berbenah setelah pergantian PSP, dengan digantinya beberapa jajaran direksi dan dewan komisaris, yang menjadi kunci adalah ditempatkannya Lim Aun Seng di posisi Komisaris Utama.

Siapa Lim Aun Seng? Pria yang akrab disapa Pak Vincent ini merupakan orang kepercayaan dari FKS GROUP, beliau pernah menjabat sebagai President Director PT FKS Multi Agro (2014-2019), sebelum FKS mengakusisi AISA, Pak Vincent sudah berada di AISA terlebih dahulu kurang lebih selama 1 tahun untuk mengamati AISA dari dalam sebelum akhirnya FKS menjadi PSP baru lewat PT. Pangan Sejahtera Investama.

Bad GCG dan laporan keuangan yang buruk adalah dosa kelam AISA. FKS menurut saya tidak sembarang menempatkan Lim Aun Seng di posisi Komisaris Utama, FKS tau betul apa yang harus diperbaiki. Lim Aun Seng mempunyai pengalaman panjang di bidang keuangan beliau pernah menjabat sebagai Group Financial Controller Plenitude Berhard (2008), Chief Financial Officer PT Malindo Feedmil, Tbk (2008-2014). Visi beliau selalu mengedepankan efesiensi, dan memang itu menurut saya yang sekarang perusahaan butuhkan.

Lalu mengapa Laporan Keuangannya masih negatif sampai saat ini? Jawaban dari saya adalah BERSABARLAH, karena manajemen baru sedang menebus satu per satu dosa masa lalu.",FISH,2,0
"15 Nov 22, 14:48",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [FISH],FISH,0,0
"15 Nov 22, 07:55","PT FKS Multi Agro Tbk (FISH) Raih Pendapatan Usd1,10 Miliar Hingga September 2022
PT FKS Multi Agro Tbk (FISH) meraih pendapatan sebesar USD1,10 miliar hingga periode yang berakhir 30 September 2022 meningkat dari pendapatan USD883,63 juta di periode yang sama tahun sebelumnya.Laporan keuangan perseroan Selasa menyebutkan, beban pokok pendapatan mencapai USD1,05 miliar naik dari ...",FISH,2,0
